"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","negative regulation of fat cell differentiation","GO:0045599","6.187481313047149e-8","7.208486099679023","53","1691","19","21017","TGFB1,TNF,SOD2,IL6,ENPP1,GATA2,MSX2,WNT5A,ID4,WNT3A,SMAD3,GPS2,CCDC85B,ADIPOQ,FLCN,ZFPM2,SIRT1,GPER1,WWTR1"
"GO:BP","columnar/cuboidal epithelial cell development","GO:0002066","6.187481313047149e-8","7.208486099679023","53","1691","19","21017","DLL1,PDPK1,PRDM1,TGFB1,TYMS,RARA,BMP4,SRC,GJA1,HOXA5,BMP5,GATA2,AKT1,WNT5A,GSK3A,GSK3B,HIF1A,BAD,TLR9"
"GO:BP","carbohydrate transport","GO:0008643","6.247865915472422e-8","7.204268299360476","153","1691","35","21017","DHRS7C,STXBP3,INS,TNF,IL1B,IGF1,EDN1,PRKCB,BRAF,RHOQ,DRD1,ENPP1,PIK3R1,AKT1,IRS1,LEP,GSK3A,GPC3,SESN2,SLC26A5,OSTN,PPARD,RNASEL,PTPN11,GRB10,PEA15,ADIPOQ,NFE2L2,FFAR4,PID1,RSC1A1,INPP5K,OSBPL8,SLC45A2,IRS2"
"GO:BP","regulation of lipid catabolic process","GO:0050994","6.585999493068444e-8","7.1813783070522295","64","1691","21","21017","CIDEA,INS,TNF,IL1B,APOA2,APOC1,APOC2,FABP1,ADRA2A,THRA,CNR1,ADORA1,AKT1,IRS1,CPT1A,PRKCE,PRKCD,PPARA,PRKAA1,TWIST1,IRS2"
"GO:BP","cellular response to heat","GO:0034605","6.585999493068444e-8","7.1813783070522295","64","1691","21","21017","CXCL10,LYN,THBS1,HSP90AB1,HMOX1,HSPA1A,MAPT,TPR,PRKACA,NF1,PTGS2,MTOR,GSK3B,IRAK1,SUMO1,EP300,ATM,RBBP7,TRPV1,HDAC2,SIRT1"
"GO:BP","response to fungus","GO:0009620","7.333584881575019e-8","7.1346836769693205","70","1691","22","21017","TLR4,BCL10,TGFB1,LTF,HRG,MPO,ELANE,CTSG,CHGA,DEFA4,HTN1,CX3CR1,DEFA3,S100A12,HAMP,DCD,DEFA6,BTK,SCIMP,JAGN1,TRIM62,IL36RN"
"GO:BP","regulation of tumor necrosis factor-mediated signaling pathway","GO:0010803","7.73686156331514e-8","7.1114351739613495","59","1691","20","21017","PARK2,NOL3,APOA1,GSTP1,HSPA1A,NLRP2B,PTPN2,TNFAIP3,F2RL1,TRIM32,GPS2,GAS6,ADIPOQ,PYDC2,PIAS4,ZNF675,PYDC1,NR1H4,CYLD,PYCARD"
"GO:BP","endoderm development","GO:0007492","7.756159222478152e-8","7.110353284078391","88","1691","25","21017","TGFB1,FN1,ITGAV,INHBA,COL11A1,BMP4,CTNNB1,HNF1B,BMPR1A,NKX2-1,NOTCH1,MMP14,NR0B1,HMGA2,SMAD3,ZFP36L1,NOG,HDAC1,CDC73,CTR9,PAF1,LEO1,NODAL,MIXL1,SOX17"
"GO:BP","defense response to Gram-positive bacterium","GO:0050830","7.817088703980269e-8","7.106954959882388","120","1691","30","21017","SSC5D,PGLYRP1,LTA,TNF,IL1B,ANG,IL6,CTSG,CHGA,MBL2,DEFA4,HLA-E,CD36,IL7R,LBP,KLRK1,IL12A,CAMP,TIRAP,NLRP6,DEFA3,DEFA6,IL27RA,HAVCR2,TNFRSF14,PGLYRP3,NLRP3,PGLYRP2,P2RX7,PYCARD"
"GO:BP","cell adhesion mediated by integrin","GO:0033627","7.860834326613815e-8","7.104531356732252","82","1691","24","21017","CCL21,ITGB1BP1,SNAI2,CXCL13,LPXN,ADA,HRG,ITGB3,SERPINE1,ICAM1,ITGAV,LYN,CCL5,LIF,PTPN6,FBN1,NOV,TGFB2,PTK2,PTPN11,CYP1B1,SFRP2,CIB1,WNK1"
